"URL","Title","Season","Episode","Show"
"https://www.mtv.com/episodes/x3saoa/16-and-pregnant-kristina-season-4-ep-12","16 and Pregnant - Season 4, Ep. 12 - Kristina - Full Episode | MTV",4,12,"16 and Pregnant"
"https://www.mtv.com/episodes/rm8n8a/16-and-pregnant-katie-season-4-ep-2","16 and Pregnant - Season 4, Ep. 2 - Katie - Full Episode | MTV",4,2,"16 and Pregnant"
"https://www.mtv.com/episodes/c2s8nw/16-and-pregnant-briana-season-4-ep-3","16 and Pregnant - Season 4, Ep. 3 - Briana - Full Episode | MTV",4,3,"16 and Pregnant"
"https://www.mtv.com/episodes/10uxvc/16-and-pregnant-lindsey-season-4-ep-4","16 and Pregnant - Season 4, Ep. 4 - Lindsey - Full Episode | MTV",4,4,"16 and Pregnant"
"https://www.mtv.com/episodes/9zxlpe/16-and-pregnant-jordan-season-4-ep-6","16 and Pregnant - Season 4, Ep. 6 - Jordan - Full Episode | MTV",4,6,"16 and Pregnant"
"https://www.mtv.com/episodes/l70lz1/16-and-pregnant-myranda-season-4-ep-7","16 and Pregnant - Season 4, Ep. 7 - Myranda - Full Episode | MTV",4,7,"16 and Pregnant"
"https://www.mtv.com/episodes/p1ursd/16-and-pregnant-hope-season-4-ep-8","16 and Pregnant - Season 4, Ep. 8 - Hope - Full Episode | MTV",4,8,"16 and Pregnant"
"https://www.mtv.com/episodes/ioh6so/16-and-recovering-episode-1-season-1-ep-1","16 and Recovering - Season 1, Ep. 1 - Episode 1 - Full Episode | MTV",1,1,"16 and Recovering"
"https://www.mtv.com/episodes/zwmj95/16-and-recovering-episode-2-season-1-ep-2","16 and Recovering - Season 1, Ep. 2 - Episode 2 - Full Episode | MTV",1,2,"16 and Recovering"
"https://www.mtv.com/episodes/6pffh3/16-and-recovering-episode-3-season-1-ep-3","16 and Recovering - Season 1, Ep. 3 - Episode 3 - Full Episode | MTV",1,3,"16 and Recovering"
"https://www.mtv.com/episodes/fz0on2/16-and-recovering-episode-4-season-1-ep-4","16 and Recovering - Season 1, Ep. 4 - Episode 4 - Full Episode | MTV",1,4,"16 and Recovering"
"https://www.mtv.com/episodes/8248h5/adorableness-cute-cursers-season-1-ep-101","Adorableness - Season 1, Ep. 101 - Cute Cursers - Full Episode | MTV",1,101,"Adorableness"
"https://www.mtv.com/episodes/hjjtb1/adorableness-mini-miracles-season-1-ep-107","Adorableness - Season 1, Ep. 107 - Mini Miracles - Full Episode | MTV",1,107,"Adorableness"
"https://www.mtv.com/episodes/m2ytbi/adorableness-quack-heads-season-1-ep-2","Adorableness - Season 1, Ep. 2 - Quack Heads - Full Episode | MTV",1,2,"Adorableness"
"https://www.mtv.com/episodes/espaob/adorableness-strange-pillows-season-1-ep-3","Adorableness - Season 1, Ep. 3 - Strange Pillows - Full Episode | MTV",1,3,"Adorableness"
"https://www.mtv.com/episodes/kcy6oo/adorableness-don-t-call-me-cute-season-1-ep-4","Adorableness - Season 1, Ep. 4 - Don't Call me Cute - Full Episode | MTV",1,4,"Adorableness"
"https://www.mtv.com/episodes/b7a0jz/adorableness-kid-litters-season-1-ep-5","Adorableness - Season 1, Ep. 5 - Kid Litters - Full Episode | MTV",1,5,"Adorableness"
"https://www.mtv.com/episodes/r63oid/adorableness-gram-tastic-season-1-ep-6","Adorableness - Season 1, Ep. 6 - Gram-Tastic - Full Episode | MTV",1,6,"Adorableness"
"https://www.mtv.com/episodes/18msnh/adorableness-it-s-been-too-long-season-1-ep-8","Adorableness - Season 1, Ep. 8 - It's Been Too Long - Full Episode | MTV",1,8,"Adorableness"
"https://www.mtv.com/episodes/l9kaj7/adorableness-claw-daddies-season-1-ep-9","Adorableness - Season 1, Ep. 9 - Claw Daddies - Full Episode | MTV",1,9,"Adorableness"
"https://www.mtv.com/episodes/jlbv3i/aeon-flux-end-sinister-season-1-ep-10","Aeon Flux - Season 1, Ep. 10 - End Sinister - Full Episode | MTV",1,10,"Aeon Flux"
"https://www.mtv.com/episodes/m0a0hh/aeon-flux-thanatophobia-season-1-ep-2","Aeon Flux - Season 1, Ep. 2 - Thanatophobia - Full Episode | MTV",1,2,"Aeon Flux"
"https://www.mtv.com/episodes/y8wwdc/aeon-flux-a-last-time-for-everything-season-1-ep-3","Aeon Flux - Season 1, Ep. 3 - A Last Time for Everything - Full Episode | MTV",1,3,"Aeon Flux"
"https://www.mtv.com/episodes/t2wh3o/aeon-flux-ether-drift-theory-season-1-ep-4","Aeon Flux - Season 1, Ep. 4 - Ether Drift Theory - Full Episode | MTV",1,4,"Aeon Flux"
"https://www.mtv.com/episodes/7n6zyd/aeon-flux-the-purge-season-1-ep-5","Aeon Flux - Season 1, Ep. 5 - The Purge - Full Episode | MTV",1,5,"Aeon Flux"
"https://www.mtv.com/episodes/j733yc/aeon-flux-the-demiurge-season-1-ep-6","Aeon Flux - Season 1, Ep. 6 - The Demiurge - Full Episode | MTV",1,6,"Aeon Flux"
"https://www.mtv.com/episodes/92wkue/aeon-flux-isthmus-crypticus-season-1-ep-7","Aeon Flux - Season 1, Ep. 7 - Isthmus Crypticus - Full Episode | MTV",1,7,"Aeon Flux"
"https://www.mtv.com/episodes/gd6qce/aeon-flux-reraizure-season-1-ep-8","Aeon Flux - Season 1, Ep. 8 - Reraizure - Full Episode | MTV",1,8,"Aeon Flux"
"https://www.mtv.com/episodes/p285qh/aeon-flux-chronophasia-season-1-ep-9","Aeon Flux - Season 1, Ep. 9 - Chronophasia - Full Episode | MTV",1,9,"Aeon Flux"
"https://www.mtv.com/episodes/evidfz/ain-t-that-america-food-fitness-in-america-season-1-ep-1","Ain't That America - Season 1, Ep. 1 - Food & Fitness in America - Full Episode | MTV",1,1,"Ain't That America"
"https://www.mtv.com/episodes/lwvd9e/ain-t-that-america-drinking-rides-in-america-season-1-ep-4","Ain't That America - Season 1, Ep. 4 - Drinking & Rides in America - Full Episode | MTV",1,4,"Ain't That America"
"https://www.mtv.com/episodes/tkv9ar/ain-t-that-america-weddings-bromance-in-america-season-1-ep-5","Ain't That America - Season 1, Ep. 5 - Weddings & Bromance in America - Full Episode | MTV",1,5,"Ain't That America"
"https://www.mtv.com/episodes/36ws3k/ain-t-that-america-vacations-celebrations-in-america-season-2-ep-1","Ain't That America - Season 2, Ep. 1 - Vacations & Celebrations in America - Full Episode | MTV",2,1,"Ain't That America"
"https://www.mtv.com/episodes/5vy47f/ain-t-that-america-beauty-working-in-america-season-2-ep-10","Ain't That America - Season 2, Ep. 10 - Beauty & Working in America - Full Episode | MTV",2,10,"Ain't That America"
"https://www.mtv.com/episodes/zeefxh/ain-t-that-america-dancing-pets-in-america-season-2-ep-11","Ain't That America - Season 2, Ep. 11 - Dancing & Pets in America - Full Episode | MTV",2,11,"Ain't That America"
"https://www.mtv.com/episodes/johx26/ain-t-that-america-parenting-school-in-america-season-2-ep-12","Ain't That America - Season 2, Ep. 12 - Parenting & School in America - Full Episode | MTV",2,12,"Ain't That America"
"https://www.mtv.com/episodes/wm8uw0/ain-t-that-america-drinking-rides-in-america-season-2-ep-2","Ain't That America - Season 2, Ep. 2 - Drinking & Rides in America - Full Episode | MTV",2,2,"Ain't That America"
"https://www.mtv.com/episodes/0tp7jp/ain-t-that-america-college-dating-in-america-season-2-ep-3","Ain't That America - Season 2, Ep. 3 - College & Dating in America - Full Episode | MTV",2,3,"Ain't That America"
"https://www.mtv.com/episodes/wknw9x/ain-t-that-america-animals-talent-in-america-season-2-ep-4","Ain't That America - Season 2, Ep. 4 - Animals & Talent in America - Full Episode | MTV",2,4,"Ain't That America"
"https://www.mtv.com/episodes/2aoxf8/ain-t-that-america-food-sports-in-america-season-2-ep-5","Ain't That America - Season 2, Ep. 5 - Food & Sports in America - Full Episode | MTV",2,5,"Ain't That America"
"https://www.mtv.com/episodes/98dkjs/ain-t-that-america-bad-ideas-fandemonium-in-america-season-2-ep-6","Ain't That America - Season 2, Ep. 6 - Bad Ideas & Fandemonium in America - Full Episode | MTV",2,6,"Ain't That America"
"https://www.mtv.com/episodes/cfa8lq/ain-t-that-america-camping-technology-in-america-season-2-ep-7","Ain't That America - Season 2, Ep. 7 - Camping & Technology in America - Full Episode | MTV",2,7,"Ain't That America"
"https://www.mtv.com/episodes/j3xr0m/ain-t-that-america-fitness-weddings-in-america-season-2-ep-8","Ain't That America - Season 2, Ep. 8 - Fitness & Weddings in America - Full Episode | MTV",2,8,"Ain't That America"
"https://www.mtv.com/episodes/6uu4ha/all-star-shore-the-game-is-bigger-than-you-season-1-ep-10","All Star Shore - Season 1, Ep. 10 - The Game Is Bigger Than You - Full Episode | MTV",1,10,"All Star Shore"
"https://www.mtv.com/episodes/q3c635/all-star-shore-the-final-shore-down-season-1-ep-11","All Star Shore - Season 1, Ep. 11 - The Final Shore-Down - Full Episode | MTV",1,11,"All Star Shore"
"https://www.mtv.com/episodes/jb3etb/all-star-shore-we-re-all-small-prostitutes-season-1-ep-2","All Star Shore - Season 1, Ep. 2 - We're All Small Prostitutes - Full Episode | MTV",1,2,"All Star Shore"
"https://www.mtv.com/episodes/nr8zvg/all-star-shore-it-must-have-been-the-massage-season-1-ep-3","All Star Shore - Season 1, Ep. 3 - It Must Have Been the Massage - Full Episode | MTV",1,3,"All Star Shore"
"https://www.mtv.com/episodes/y1u0dr/all-star-shore-burning-down-the-house-season-1-ep-4","All Star Shore - Season 1, Ep. 4 - Burning Down the House - Full Episode | MTV",1,4,"All Star Shore"
"https://www.mtv.com/episodes/rx1r66/all-star-shore-shore-embarrassing-season-1-ep-5","All Star Shore - Season 1, Ep. 5 - Shore-Embarrassing - Full Episode | MTV",1,5,"All Star Shore"
"https://www.mtv.com/episodes/ts6ps8/all-star-shore-best-friends-lots-of-benefits-season-1-ep-8","All Star Shore - Season 1, Ep. 8 - Best Friends, Lots of Benefits - Full Episode | MTV",1,8,"All Star Shore"
