"URL","Title","Season","Episode","Show"
"https://www.mtv.com/video-clips/gm6aha","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/5exg99","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/biu00s","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/vdgkm4","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/hd7obn","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/n3k1fv","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/s1gwcm","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/a9sxty","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/4ri60s","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/najuem","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/kphauh","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/wquq6e","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/cl7r9g","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/sspmgy","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/qpwwlh","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/ergb7p","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/54wj34","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/8zlv3f","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/wc3s6s","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/8qqevj","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/18zi68","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/ssdm3a","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/y9pr7x","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/qct2ik","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/aci77q","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/f2jq3r","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/v17lg4","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/m9ufup","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/z0q0vj","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/3q9koo","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/j78kpl","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/gui14k","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/26fge9","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/xp88s3","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/h39gm0","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/0hsofu","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/bh7i2p","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/m2dund","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/952sw7","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/m0i1vv","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/sqqg0y","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/yuh6b9","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/0ftkag","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/8p9roc","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/k4exyd","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/ufizkp","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/j3dufj","16 and Pregnant",,,"16 and Pregnant"
"https://www.mtv.com/video-clips/scuj0h","16 and Pregnant",,,"16 and Pregnant"
